ID	C1	C2
S523	80	Female
S524	71.4	Male
S525	68.1	Male
S526	83.1	Male
S527	69.6	Male
S528	74.4	Male
S529	71.4	Female
S530	82.8	Female
S531	82	Male
S532	75	Male
S533	86.1	Female
S534	75.3	Male
S535	70	Female
S536	82.2	Female
S537	73.3	Female
S538	72.4	Male
S539	82.6	Female
S540	73.5	Male
S541	84.8	Male
S542	81.7	Female
S543	69.3	Female
S544	78.2	Female
S545	63.8	Female
S546	74	Male
S547	64.3	Male
S548	72.8	Male
S549	72.6	Male
S550	76.8	Male
S551	70	Male
S552	77.9	Male
S553	76.8	Male
S554	80.5	Male
S555	73.1	Male
S556	86.2	Male
S557	84.3	Female
S558	80.2	Female
S559	76.6	Male
S560	81.6	Male
S561	79.1	Female
S562	64.3	Female
S563	86.3	Female
S564	55.1	Female
S565	78.5	Female
S566	90.9	Female
S567	80.4	Female
S568	70.8	Male
S569	69.3	Male
S570	76.3	Female
S571	73.9	Female
S572	72.3	Male
S573	75.8	Male
S574	74.2	Male
S575	77.8	Male
S576	84.7	Female
S577	58.7	Male
S578	78.3	Female
S579	70.7	Female
S580	86.9	Female
S581	77.1	Female
S582	68.6	Male
S583	69.1	Female
S584	76.9	Female
S585	67.4	Male
S586	77.1	Female
S587	84.7	Male
S588	73.3	Female
S589	75.1	Male
S590	87.2	Male
S591	73.7	Male
S592	83.2	Male
S593	71.4	Male
S594	70.9	Male
S595	68.5	Male
S596	65.6	Male
S597	82.6	Female
S598	71.6	Male
S599	75.2	Female
S600	69	Female
S601	69.9	Male
S602	84.6	Male
S603	71.1	Female
S604	61.2	Female
S605	84.5	Female
S606	81.9	Male
S607	78.4	Female
S608	72.4	Male
S609	73.6	Male
S610	59.8	Female
S611	65.7	Female
S612	85	Female
S613	67.1	Male
S614	83.3	Male
S615	70.6	Male
S616	78	Male
S617	81.4	Male
S618	84.5	Male
S619	69.5	Female
S620	71.9	Female
S621	81.4	Male
S622	87.9	Male
S623	71.3	Male
S624	74.3	Male
S625	76	Male
S626	80.3	Female
S627	73	Male
S628	72	Female
S629	79.2	Female
S630	70.9	Female
S631	72.8	Female
S632	83	Male
S633	64.5	Female
S634	74	Female
S635	77.8	Female
S636	79.2	Female
S637	78.3	Female
S638	83.4	Male
S639	68.9	Female
S640	82.5	Male
S641	76.4	Male
S642	77.9	Female
S643	56.2	Female
S644	76.6	Female
S645	75.8	Female
S646	80.4	Male
S647	71.1	Female
S648	86.4	Male
S649	79.9	Female
S650	75.6	Male
S651	81.5	Female
S652	67.4	Male
S653	84.4	Male
S654	77.4	Male
S655	69.7	Female
S656	84.3	Male
S657	71.4	Female
S658	76.6	Male
S659	57.8	Male
S660	84.9	Female
S661	79.8	Male
S662	69.5	Female
S663	81.4	Male
S664	81.2	Female
S665	72.2	Female
S666	72.9	Male
S667	71.5	Male
S668	72.7	Male
S669	76	Female
S670	80.2	Male
S671	64.4	Female
S672	62	Male
S673	83.2	Male
S674	76.4	Male
S675	81.2	Female
S676	76.5	Female
S677	78.8	Male
S678	69.6	Female
S679	84.8	Male
S680	76.9	Male
S681	82.4	Female
S682	58.4	Male
S683	84.4	Male
S684	75.5	Female
S685	77.5	Male
S686	83.3	Male
S687	77.3	Male
S688	83	Male
S689	72.9	Male
S690	72	Female
S691	74.2	Male
S692	86.7	Male
S693	75.3	Female
S694	74.8	Female
S695	78.5	Male
S696	67.8	Female
S697	85.4	Female
S698	71.2	Male
S699	73.4	Female
S700	81.1	Male
S701	76.4	Male
S702	82.6	Male
S703	64.6	Female
S704	83.5	Female
S705	72.1	Female
S706	67	Female
S707	72.1	Male
S708	71.1	Female
S709	77.3	Male
S710	78.9	Male
S711	71.3	Female
S712	72.4	Male
S713	72.5	Female
S714	79.8	Female
S715	70.8	Female
S716	73.2	Female
S717	74.2	Female
S718	62.6	Female
S719	84.3	Male
S720	76.4	Female
S721	71.6	Female
S722	84.9	Male
S723	71.2	Male
S724	71.1	Female
S725	72.7	Female
S726	64.8	Female
S727	82.2	Female
S728	73.2	Male
S729	82.7	Male
S730	73.4	Male
S731	71.2	Male
S732	78.9	Female
S733	71.8	Female
S734	86.3	Male
S735	68.3	Female
S736	70.7	Female
S737	77.6	Female
S738	77	Female
S739	59.9	Male
S740	85.9	Male
S741	80	Female
S742	75.5	Female
S743	59.9	Male
S744	77.4	Female
S745	79.3	Female
S746	76.2	Male
S747	77.1	Male
S748	79.2	Male
S749	76.7	Male
S750	76.9	Male
S751	71.8	Male
S752	73.4	Female
S753	72.1	Female
S754	74.7	Female
S755	74.5	Female
S756	75.3	Female
S757	79.7	Male
S758	69.1	Female
S759	69.1	Male
S760	80.7	Female
S761	83.3	Female
S762	82.9	Female
S763	83.2	Male
S764	71.7	Female
S765	66.3	Male
S766	61.7	Male
S767	76.5	Female
S768	64.2	Male
S769	71.4	Male
S770	84.2	Male
S771	79.5	Female
S772	82.4	Female
S773	71.6	Female
S774	64.7	Male
S775	72.6	Male
S776	71.6	Female
S777	71.8	Female
S778	85.9	Male
S779	58.9	Female
S780	70.6	Male
S781	69.7	Female
S782	73.6	Male
S783	75.2	Female
S784	84.2	Male
S785	75.4	Male
S786	82.6	Male
S787	61.8	Female
S788	87.7	Male
S789	84.7	Male
S790	64.3	Male
S791	72	Male
S792	69.5	Female
S793	85.6	Male
S794	76.1	Male
S795	85.1	Male
S796	82.5	Male
S797	77.1	Male
S798	55.1	Female
S799	77.6	Female
S800	77.9	Male
S801	69.3	Male
S802	61.1	Female
S803	74.6	Female
S804	71.4	Male
S805	65.9	Male
S806	74.1	Male
S807	59.4	Male
S808	74.3	Male
S809	63.1	Male
S810	81.5	Male
S811	77.9	Male
S812	81.3	Female
S813	74.4	Female
S814	69.4	Male
S815	75.6	Female
S816	83.4	Male
S817	69.6	Female
S818	83.4	Female
S819	82.4	Male
S820	64.8	Male
S821	63.6	Female
S822	83.4	Female
S823	62.9	Female
S824	69.9	Female
S825	76.4	Female
S826	66	Male
S827	82.5	Female
S828	61.9	Female
S829	72.5	Male
S830	66.7	Female
S831	75.8	Male
S832	69.5	Male
S833	72.2	Female
S834	72.3	Male
S835	77.4	Male
S836	73.1	Male
S837	75.2	Male
S838	64.2	Female
S839	83.9	Female
S840	73.9	Female
S841	66	Female
S842	68.3	Male
S843	83.1	Male
S844	57	Female
S845	84.9	Male
S846	72.8	Male
S847	63.4	Female
S848	62	Male
S849	81	Male
S850	65.5	Male
S851	88.3	Female
S852	69.5	Male
S853	59.5	Female
S854	83.7	Female
S855	87.8	Female
S856	77.5	Male
S857	75.2	Male
S858	61.6	Male
S859	71.7	Male
S860	67.8	Female
S861	63.9	Female
S862	82.3	Female
S863	78.1	Female
S864	76.4	Male
S865	62.5	Female
S866	81.6	Male
S867	82.7	Female
S868	66.3	Male
S869	67.8	Female
S870	72.7	Male
S871	70.6	Male
S872	76.6	Male
S873	68.9	Female
S874	70.9	Female
S875	80.7	Male
S876	71.3	Male
S877	65.3	Female
S878	77.6	Female
S879	65.5	Male
S880	83	Male
S881	80.4	Female
S882	73	Male
S883	57.7	Female
S884	82.4	Male
S885	66.7	Female
S886	75.5	Male
S887	71	Female
S888	68	Male
S889	68.2	Female
S890	83.2	Male
S891	76	Female
S892	63.7	Female
S893	84.7	Male
S894	68.8	Male
S895	79.8	Female
S896	82.3	Female
S897	68.1	Male
S898	74.3	Male
S899	82	Male
S900	70.4	Male
S901	55.5	Female
S902	63.6	Female
S903	65	Male
S904	68.5	Male
S905	73.5	Female
S906	78	Male
S907	57	Female
S908	65.1	Male
S909	76.1	Male
S910	75.8	Male
S911	62	Male
S912	69.3	Male
S913	64	Male
S914	56	Male
S915	76.6	Male
S916	65.7	Male
S917	61.3	Male
S918	78.6	Female
S919	74.8	Male
S920	65.7	Male
S921	68.2	Female
S922	74.3	Female
S923	56.3	Female
S924	70.5	Female
S925	67	Male
S926	72.9	Female
S927	71	Male
S928	88.1	Female
S929	71.6	Male
S930	63	Male
S931	58.8	Male
S932	74.7	Male
S933	79	Female
S934	81.3	Female
S935	81.9	Male
S936	59.9	Male
S937	66	Male
S938	67.8	Male
S939	69.1	Male
S940	57.8	Female
S941	87.8	Female
S942	71.7	Female
S943	64.4	Female
S944	67.4	Male
S945	72.6	Male
S946	70.2	Female
S947	71.5	Male
S948	79.1	Female
S949	71.6	Female
S950	68	Female
S951	88.5	Female
S952	72.3	Female
S953	66.8	Female
S954	70.5	Male
S955	78.1	Male
S956	90.3	Male
S957	70.8	Female
S958	68.9	Female
S959	80.7	Male
S960	73.6	Female
S961	76.1	Male
S962	66.5	Male
S963	66.5	Male
S964	86.4	Male
S965	55.9	Female
S966	73.5	Male
S967	63.5	Female
S968	61.1	Male
S969	68.3	Female
S970	70.2	Female
S971	72.1	Female
S972	72.6	Female
S973	74	Male
S974	75.6	Male
S975	55.9	Male
S976	77.9	Female
S977	57.2	Male
S978	82.1	Male
S979	77	Male
S980	70.6	Male
S981	75.3	Male
S982	68.3	Female
S983	81.1	Male
S984	84.6	Female
S985	71.9	Male
S986	84.4	Male
S987	64.1	Female
S988	59.2	Female
S989	78.7	Female
S990	65	Male
S991	84.5	Male
S992	62.3	Female
S993	76.2	Male
S994	73.4	Male
S995	72.6	Female
S996	75.4	Male
S997	64.5	Female
S998	78.6	Female
S999	72.7	Female
