ID	P1	P2	P3	P4	P5	P6	P7	P8
S84	664.801	2135.51	1161.728	112.748	58.7923	852.634	1237.888	690.95
S85	612.62	1876.942	1035.593	105.1157	47.1705	767.689	1108.373	585.796
S86	708.993	1789.789	1024.066	96.7967	79.2615	960.728	1151.663	687.711
S87	733.217	2162.81	1204.325	132.071	94.86	924.466	1233.355	606.826
S88	648.121	1917.302	1062.361	89.6948	103.1182	824.043	1226.226	687.854
S89	560.658	1725.057	986.108	111.285	74.7165	954.24	1100.496	597.349
S90	645.141	1898.266	1070.456	113.1079	70.2963	851.575	1200.259	695.765
S91	589.524	1775.561	962.893	94.5601	47.4396	801.646	1068.27	574.322
S92	609.713	1714.535	941.793	49.1867	89.3342	651.024	992.794	692.993
S93	585.951	1684.719	885.005	80.7924	122.4171	808.621	990.455	522.277
S94	546.019	1739.603	961.97	143.1375	35.1833	838.734	1125.956	574.87
S95	582.238	1566.699	859.289	90.6033	58.0542	686.397	992.512	545.981
S96	698.917	1637.453	943.408	22.1863	109.9597	678.22	1007.229	547.544
S97	626.263	2078.472	1170.944	147.8481	65.7282	1135.121	1338.342	674.007
S98	681.193	1888.865	1037.844	86.7838	83.6537	903.606	1240.867	529.692
S99	777.658	1941.071	1049.997	51.4612	88.6892	793.015	1170.188	774.189
S100	707.255	2040.52	1151.695	46.145	76.2827	712.238	1090.503	691.672
S101	775.788	2394.88	1354.024	66.2147	71.8018	986.918	1426.672	693.989
S102	605.595	1775.515	1004.962	65.703	126.8163	827.131	1222.531	758.023
S103	678.264	1857.248	1026.233	103.4738	78.671	938.814	1241.873	763.872
S104	636.932	1624.889	946.971	99.1475	82.4858	819.791	1099.495	573.831
S105	709.947	1891.356	1095.35	83.4732	115.9482	1038.813	1180.799	885.168
S106	566.981	1654.24	951.961	116.9171	85.9984	779.447	1106.599	555.171
S107	547.03	1564.904	897.223	83.2266	89.8486	665.927	957.195	550.7
S108	626.019	1890.663	1078.329	67.2177	107.0906	728.486	1130.068	640.341
S109	644.229	1934.447	1071.047	68.3762	81.3851	755.434	1121.285	633.337
S110	677.873	1779.26	1003.183	88.0293	89.2295	849.881	1159.562	696.298
S111	760.718	2009.144	1095.928	20.91174	173.5789	833.322	1219.952	708.107
S112	690.146	2119.71	1176	163.3954	68.6032	955.11	1250.328	742.453
S113	658.289	1810.62	971.788	56.8112	160.2151	764.998	1003.052	577.589
S114	663.187	1916.891	1110.144	101.5099	95.3714	960.915	1346.62	753.405
S115	617.639	1652.282	893.459	66.7746	186.1882	753.585	1013.754	538.755
S116	555.488	1417.428	753.944	6.003408	63.9806	581.787	804.349	556.624
S117	590.066	1466.208	832.575	86.0308	56.8749	614.333	941.1	446.043
S118	698.363	1996.361	1216.228	124.5572	181.4413	934.009	1302.24	646.68
S119	627.005	1681.519	946.835	106.0671	86.0976	890.991	1133.083	607.513
S120	705.152	1964.046	1085.824	98.7523	81.9163	971.124	1186.558	825.335
S121	557.143	1881.693	1089.455	57.127	130.9528	818.773	1091.188	656.123
S122	605.973	1842.373	1005.372	124.0395	76.9522	885.092	1233.915	667.257
S123	521.38	1515.964	892.051	32.8892	166.3186	610.708	862.065	569.324
S124	658.038	2045.69	1157.79	74.2932	128.1085	1170.01	1326.141	959.255
S125	603.115	1427.826	823.601	14.78771	59.6968	609.233	903.105	596.611
S126	616.623	1597.543	915.891	67.806	209.7339	767.143	959.896	619.371
S127	691.952	1969.67	1112.805	127.8816	59.4769	958.249	1264.801	716.684
S128	699.011	1989.336	1122.814	28.10737	131.2078	888.96	1189.944	725.278
S129	636.099	1634.774	940.44	81.2325	129.489	830.126	1086.916	461.507
S130	705.605	2268.4	1266.331	97.0285	105.1439	986.885	1426.408	708.928
S131	600.587	1799.186	1028.371	135.806	49.6993	935.861	1303.569	715.932
S132	511.647	1689.4	990.114	102.4049	88.2292	1079.946	1217.1	632.291
S133	617.401	1737.658	977.014	73.5714	102.5447	730.671	1150.919	691.304
S134	729.611	2056.911	1153.505	133.8464	110.226	887.883	1356.561	767.833
S135	605.855	1812.652	1024.227	133.5658	92.8324	949.329	1223.156	721.965
S136	708.648	2181.623	1266.384	90.5501	92.9051	1011.506	1161.671	567.622
S137	590	1994.16	1159.436	148.0539	142.7352	1132.181	1282.577	551.89
S138	688.655	1910.253	1045.513	107.4017	71.0764	949.198	1222.082	645.523
S139	623.084	1655.355	975.906	114.2782	104.3799	789.449	992.14	602.447
S140	719.962	2229.88	1246.568	114.0317	153.1056	843.496	1214.402	527.775
S141	607.289	1936.964	1038.643	106.724	54.9188	958.679	1220.374	599.73
S142	801.081	2128.252	1141.957	136.4364	117.0355	1008.892	1382.838	748.481
S143	706.005	1993.214	1094.554	67.9583	94.9773	837.825	1242.173	791.83
S144	717.796	1872.116	1045.149	49.6082	51.9232	769.081	1124.875	701.235
S145	714.677	2210.68	1302.798	74.8472	122.6284	762.369	1333.896	867.847
S146	653.132	1885.93	1046.419	98.0939	64.9458	866.842	1212.135	791.014
S147	785.608	2136.61	1198.111	101.5588	115.7376	989.17	1407.93	1010.953
S148	800.928	2412.66	1351.833	69.0354	100.9537	1023.73	1396.357	877.622
S149	709.024	2162.1	1284.243	60.5188	131.188	1030.911	1420.758	767.797
S150	559.811	1665.049	968.55	67.5238	139.7071	708.296	939.463	475.709
S151	519.035	1547.877	840.532	126.8791	69.2423	691.135	916.185	424.944
S152	713.552	2151.256	1211.984	163.0235	54.0377	1100.669	1391.305	779.526
S153	629.313	1841.871	1042.408	147.9592	53.4429	945.438	1251.24	686.252
S154	621.809	1661.43	972.212	90.574	101.0093	803.807	1145.31	569.664
S155	593.538	1949.738	1070.478	62.4555	78.1453	799.39	1159.94	697.782
S156	616.497	1814.288	1066.487	113.2987	87.5899	998.785	1252.126	686.287
S157	579.334	1686.904	954.613	99.0041	68.5306	878.389	1066.391	662.61
S158	589.657	1687.842	954.412	65.2721	71.6509	781.591	1111.288	616.158
S159	664.954	1997.341	1073.179	180.023	97.0055	936.37	1135.749	677.617
S160	674.326	1672.054	953.764	29.569	85.756	877.571	1260.436	716.307
S161	836.512	1958.826	1131.683	28.00786	136.5732	817.268	1219.763	714.98
S162	733.893	1998.709	1100.064	101.4125	190.1445	894.562	1185.897	635.895
S163	856.901	2551.17	1386.47	157.0635	122.9525	1158.947	1601.719	846.533
S164	867.447	2190.691	1207.009	77.14617	187.6729	794.062	1396.266	546.582
S165	525.389	1537.91	873.589	69.4508	117.5038	595.326	764.817	364.267
S166	436.214	1140.207	668.564	44.2451	82.1586	567.602	794.859	499.891
S167	549.104	1502.629	900.996	17.48575	89.4819	599.24	937.935	531.192
S168	645.362	1747.533	938.041	57.4526	59.8284	837.799	1084.518	602.415
S169	724.218	2298.88	1275.587	116.8067	53.4771	1031.729	1401.256	837.849
S170	815.273	2492.98	1362.903	92.5881	152.7374	982.941	1377.198	821.787
S171	703.322	1990.821	1151.736	110.4778	70.4055	981.047	1303.038	676.18
S172	520.744	1582.648	880.425	88.7708	120.6358	719.528	908.587	458.825
S173	637.045	2060.08	1195.306	77.1348	97.1511	976.378	1290.236	709.431
S174	616.742	1892.708	1073.686	116.1923	84.0014	818.715	1156.57	590.018
S175	528.277	1616.327	906.145	50.2087	104.9115	705.521	954.631	489.784
S176	582.373	1854.321	1010.696	56.5386	84.9877	720.212	948.481	607.336
S177	559.92	1865.43	1032.801	103.9444	72.938	805.449	1109.195	687.745
S178	588.688	1776.181	971.898	192.3177	30.3598	831.35	1103.448	365.073
S179	645.427	1855.506	1053.272	128.2535	100.7356	917.163	1232.26	667.225
S180	733.527	2070.976	1148.421	67.5904	117.944	848.592	1298.031	787.142
S181	716.964	1823.218	1059.745	99.4615	47.3048	932.784	1189.598	861.752
S182	606.438	1695.243	1003.057	89.3375	43.9199	869.957	1223.889	705.023
S183	576.187	1592.885	889.55	30.843	96.2615	591.553	923.183	494.934
S184	606.045	1813.389	1026.482	76.2879	58.4268	752.493	1113.655	679.129
S185	411.474	1035.432	548.522	29.62206	132.7058	364.431	579.648	417.861
S186	523.84	1431.569	788.398	68.8775	146.7554	609.05	893.747	602.973
S187	675.46	2016.005	1100.208	116.2043	56.7227	876.253	1226.804	738.295
S188	644.374	1915.55	1062.38	112.9701	66.561	820.656	1089.744	671.058
S189	685.689	1800.649	946.598	88.6954	57.6452	731.391	1079.582	620.706
S190	638.081	1817.089	1040.951	104.3062	79.736	822.063	1178.102	592.025
S191	508.767	1586.684	856.451	45.5847	82.6257	496.312	858.778	499.073
S192	557.218	1497.521	842.231	67.7266	26.5836	680.401	1006.829	577.977
S193	621.734	2034.019	1104.802	126.8683	75.6253	853.572	1166.131	742.363
S194	579.051	1362.406	762.633	69.4491	62.1401	543.682	808.35	452.265
S195	712.686	1935.954	1089.201	89.6228	118.8658	934.56	1301.687	640.662
S196	663.829	1988.553	1102.69	149.6401	90.4079	1148.659	1298.706	825.187
S197	690.994	1890.635	1028.789	90.8139	20.82584	838.006	1222.762	767.84
S198	695.776	1692.412	968.228	59.4782	81.6858	648.879	1044.629	565.083
S199	449.572	1522.439	1209.725	86.4099	111.8642	673.147	884.641	464.833
S200	614.568	1842.994	1026.378	110.3115	62.2477	850.731	1212.202	705.478
S201	508.808	1518.677	865.13	83.3098	81.0227	907.523	1030.908	578.33
S202	750.889	2362.08	1316.844	67.5613	87.6146	902.254	1416.376	868.754
S203	535.965	1646.521	966.793	97.6327	158.6348	875.349	1059.538	479.657
S204	507.423	1663.078	924.322	113.2674	65.9677	825.946	958.023	552.877
S205	479.026	1336.386	755.411	74.705	83.3796	579.79	775.277	397.567
S206	691.425	1815.177	1036.672	109.0179	97.7091	798.343	1238.476	817.797
S207	592.807	1837.978	1058.018	86.8615	92.9963	918.996	1228.939	892.335
S208	781.731	2222.07	1199.008	100.2891	118.2781	846.603	1260.783	755.467
S209	638.193	1911.558	1001.305	89.2392	58.1661	704.368	969.597	556.148
S210	410.181	1357.761	755.839	68.5208	75.4689	551.023	774.788	469.665
S211	718.572	2181.39	1165.174	51.0084	72.1778	749.721	1285.39	716.221
S212	766.768	2106.39	1233.466	115.8533	114.5617	1015.787	1342.577	677.612
S213	805.185	2171.15	1210.27	98.1914	99.8724	894.856	1263.227	690.6
S214	650.719	1889.863	1082.117	110.839	53.1527	797.529	1042.355	525.29
S215	706.805	2046.92	1124.677	94.339	95.0791	825.251	1304.479	754.438
S216	686.872	1920.075	1027.899	99.6601	204.6934	837.97	1033.424	589.092
S217	645.786	1726.398	955.371	69.9807	117.9094	760.838	961.243	542.024
S218	598.844	1743.781	940.78	108.0781	40.2083	672.355	936.065	526.295
S219	651.017	1914.076	1094.38	129.9692	162.5681	975.874	1315.937	638.471
S220	527.075	1491.034	849.271	162.3115	54.5958	805.206	1026.23	578.082
S221	556.126	1751.852	968.625	75.7065	62.2524	718.155	1044.236	645.885
S222	568.66	1505.761	879.764	25.54414	69.8133	697.397	897.033	597.552
S223	663.502	2060.82	1189.479	118.0432	93.3769	1025.713	1417.467	866.681
S224	860.667	1666.782	949.379	49.2921	41.2053	758.265	1125.034	640.246
S225	1038.251	2098.25	1116.36	19.55491	47.8008	913.279	1406.534	613.173
S226	797.82	2367.54	1373.359	132.1783	201.338	1042.914	1518.908	775.985
S227	557.852	1754.964	966.754	55.0978	70.8277	723.039	1039.786	572.115
S228	639.372	1781.638	998.688	114.3442	91.0966	907.756	1173.105	602.339
S229	671.968	1818.193	1024.69	100.6507	77.5151	835.252	1125.744	602.562
S230	701.329	1836.659	1008.199	26.40046	62.7788	742.759	1023.466	746.914
S231	538.966	1431.538	829.067	72.4276	97.8685	679.434	955.916	568.434
S232	606.569	1762.953	954.163	79.2815	85.2924	1035.475	1145.726	608.704
S233	546.246	1447.975	806.275	39.5724	105.9051	751.083	1006.137	594.713
S234	830.524	2184.91	1228.334	57.0094	76.0563	932.866	1407.239	618.332
S235	764.169	1724.496	992.563	61.1914	82.81	819.468	1109.445	578.44
S236	651.863	2122.45	1178.016	104.9508	70.2983	931.396	1300.373	859.07
S237	637.414	2058.43	1178.127	143.8447	91.4005	1044.438	1368.74	752.886
S238	697.519	1599.541	899.236	67.5116	69.5325	795.331	985.921	656.657
S239	645.039	1624.492	909.953	32.2083	139.1373	595.834	967.327	559.079
S240	760.036	2195.8	1182.396	58.7621	67.102	924.819	1271.591	708.68
S241	598.951	1796.539	995.607	64.2226	150.1156	891.247	1036.833	608.522
S242	704.953	1888.774	1057.243	122.9842	64.3049	797.121	1143.779	646.111
S243	567.797	1706.538	956.845	77.5877	70.1799	777.317	1017.36	641.954
S244	578.459	1585.643	880.768	36.0666	135.2346	554.507	844.569	539.26
S245	611.236	1903.192	1081.822	104.6233	112.1755	936.046	1277.818	617.866
S246	752.244	1760.288	996.15	84.6994	63.0111	850.021	1152.489	634.099
S247	691.436	1552.572	885.095	62.3305	84.6063	708.004	957.957	523.219
S248	499.254	1436.888	802.411	126.5724	40.043	705.334	867.184	475
S249	632.266	1740.13	960.776	86.3763	112.4214	992.479	1144.099	542.522
S250	622.017	1832.828	1049.161	87.243	73.7299	830.161	1176.86	647.473
S251	611.674	1656.127	972.305	68.5105	104.2209	822.886	1028.373	605.046
S252	799.894	2338.76	1261.01	92.3994	99.4358	937.145	1364.813	742.682
S253	603.604	1955.932	1070.641	130.4015	82.8306	901.46	1218.744	711.718
S254	704.376	2214.44	1259.009	126.1292	112.6005	1098.077	1456.565	850.278
S255	614.914	1817.889	1004.3	105.4774	51.8795	830.793	1054.133	657.992
S256	589.498	1685.02	939.924	108.9308	64.0171	885.455	1255.781	681.056
S257	571.495	1400.921	861.611	57.9062	53.9439	730.961	1063.278	711.835
S258	605.425	1830.506	988.47	205.6055	36.4376	817.4	1056.725	442.936
S259	541.674	1472.692	808.236	24.65039	55.6569	625.669	826.854	478.381
S260	606.227	1639.17	926.091	119.0911	106.039	1025.789	1241.823	375.51
S261	661.502	2009.746	1137.628	96.5813	46.9626	904.03	1195.14	680.351
S262	534.359	1692.818	946.257	80.8177	52.58946	775.893	983.47	612.309
S263	549.96	1395.715	820.576	34.30645	141.2932	542.903	839.658	450.419
S264	829.685	1863.317	1063.212	107.6496	118.2575	864.344	1194.532	868.03
S265	626.422	1906.767	1117.114	81.7105	139.6414	894.493	1221.539	666.563
S266	597.346	2022.64	1133.664	70.7531	92.3572	1095.229	1399.911	645.485
S267	699.017	1862.85	987.614	133.1369	60.4382	731.101	1023.99	601.791
S268	509.017	1425.097	796.537	18.26711	176.7499	457.8	674.478	420.838
S269	554.619	1706.82	980.31	51.8451	104.9525	587.194	966.865	610.666
S270	571.111	1438.857	795.91	119.4023	32.0705	656.755	890.01	567.075
S271	537.561	1451.573	842.611	22.7755	88.9378	640.178	877	563.964
S272	679.543	2129.54	1173.196	109.8531	69.1988	900.264	1209.784	747.321
S273	762.339	2276.55	1274.465	58.5123	91.7381	1004.747	1412.529	838.65
S274	627.801	1867.475	1024.765	125.8268	103.4985	917.216	1242.606	639.976
S275	732.297	2163.44	1204.757	71.6683	176.4672	847.66	1251.016	580.059
S276	562.078	1833.464	1052.489	98.3268	68.0777	873.662	1132.05	691.984
S277	697.71	1828.584	1021.41	85.2425	101.8686	790.248	1169.808	571.585
S278	548.865	1489.451	808.037	9.89216	69.678	604.905	778.368	486.468
S279	601.268	1854.114	1043.538	107.3883	81.6059	820.129	1078.635	620.133
S280	523.935	1398.634	818.033	57.3441	119.4463	656.463	895.774	492.39
S281	599.119	1646.131	917.512	74.6146	71.5094	770.924	1115.134	528.352
S282	625.491	1693.415	965.936	128.8374	97.9471	814.976	1097.789	672.108
S283	674.058	1861.879	1046.694	53.6864	32.3606	758.499	1137.595	582.857
S284	651.054	1783.056	982.901	48.7695	79.9404	708.359	912.355	443.117
S285	668.386	1829.232	1047.328	76.8259	51.8787	888.843	1189.263	752.87
S286	599.424	1848.616	1062.068	123.6738	108.1323	802.61	1035.84	558.347
S287	571.009	1582.375	890.541	87.5968	121.3016	781.543	922.385	470.804
S288	633.617	1949.279	1078.594	34.6107	130.0367	741.3	1093.493	719.873
S289	585.779	1910.84	1032.918	103.548	77.9598	848.835	1192.919	754.764
S290	787.989	2190.93	1219.96	98.0215	115.8702	1190.357	1505.47	853.908
S291	636.223	2023.972	1093.553	92.4653	93.4121	791.786	1099.404	612.102
S292	679.955	1877.741	1022.14	94.0055	60.067	879.385	1153.817	638.501
S293	560.612	1672.563	981.476	94.0654	83.303	772.724	1054.939	644.834
S294	634.025	1854.568	1087.996	120.8842	122.8578	1140.262	1329.051	827.198
S295	615.531	2009.571	1113.244	104.4469	80.1081	836.545	1396.765	901.562
S296	656.386	2236.58	1203.908	112.817	132.9754	836.927	1124.46	643.234
S297	757.161	2686.36	1500.341	69.5069	172.0597	1018.138	1299.985	719.206
S298	705.699	1856.964	1067.452	105.2085	145.1364	927.714	1229.02	469.147
S299	607.06	1766.368	994.507	112.6571	53.189	934.565	1343.195	635.667
S300	654.995	1589.228	895.434	25.50736	74.4858	664.329	998.807	564.241
S301	566.551	1479.834	818.114	18.89808	89.2908	687.854	893.936	604.78
S302	648.438	1950.649	1105.112	126.0993	78.6133	1077.389	1317.207	867.851
S303	709.395	1991.913	1084.325	81.6225	105.2261	793.212	1047.256	642.33
S304	600.001	1576.629	875.665	52.4049	84.5297	680.661	966.098	575.329
S305	748.721	1489.05	849.849	6.29853	40.3871	638.629	941.697	546.325
S306	695.238	2157.78	1217.099	75.9768	50.1551	898.388	1245.494	683.842
S307	564.791	1469.603	824.117	86.3879	54.651	629.993	925.629	509.684
S308	690.98	1837.016	995.856	93.8392	121.1073	762.04	1183.629	634.163
S309	600.199	1759.576	965.229	11.26175	67.9328	728.177	898.21	572.122
S310	708.79	2110.01	1162.652	144.9976	67.8891	977.964	1383.847	748.75
S311	653.702	2335.78	1301.832	93.0183	151.6688	824.151	1212.06	578.215
S312	517.895	1440.48	828.492	50.5882	171.6575	582.588	912.652	524.49
S313	659.729	1801.275	1000.791	65.9835	49.9862	800.173	1136.413	549.751
S314	542.262	1366.659	739.095	28.4833	27.31461	551.086	743.628	485.012
S315	611.095	1723.794	974.23	99.0569	107.9141	830.693	1070.909	627.711
S316	678.513	1762.216	995.143	150.1038	26.3563	822.341	1069.096	579.382
S317	616.647	1760.252	940.42	72.4326	95.4775	744.875	1050.589	616.267
S318	745.153	2006.739	1097.313	40.1485	188.0525	733.184	1047.158	648.629
S319	795.674	2397.28	1305.56	94.5615	102.3368	1045.266	1452.986	844.221
S320	526.265	1200.29	703.78	44.5044	79.9925	671.674	810.234	526.162
S321	754.347	2309.47	1276.235	100.5302	107.8747	879.59	1214.264	783.593
S322	632.3	1924.123	1066.935	105.6897	126.9282	793.096	1141.76	601.358
S323	704.383	1893.055	1029.489	140.179	49.2356	791.403	1187.454	603.818
S324	577.7	1475.302	854.005	76.33	92.279	711.335	953.327	417.09
S325	721.411	2045.891	1116.549	162.3046	59.2505	960.33	1248.065	664.437
S326	764.156	2001.659	1125.606	89.3569	90.0452	937.362	1375.01	670.638
S327	638.135	1940.66	1103.874	77.8123	85.0451	873.734	1164.689	698.302
S328	630.74	1607.513	885.06	30.9323	87.6615	757.232	1088.03	513.44
S329	680.366	1871.833	1049.635	41.9622	71.4641	738.051	1232.785	763.646
S330	441.858	1171.071	699.007	46.8244	66.3146	526.139	771.822	380.893
S331	639.02	1653.146	904.698	82.6146	56.5493	833.102	1095.322	559.199
S332	619.146	1617.571	915.585	110.3607	56.4706	900.657	1159.526	755.092
S333	740.019	2298.23	1229.975	101.5038	108.3727	824.288	1220.416	870.579
S334	719.552	2003.496	1102.709	80.1861	145.8001	926.194	1208.491	720.702
S335	830.784	1966.749	1097.553	39.1229	4.67694	876.809	1314.995	644.061
S336	616.086	1565.233	878.317	145.7145	75.6834	991.317	1142.778	499.587
S337	634.086	1634.614	937.086	91.8055	100.1597	810.6	1079.922	579.291
S338	688.97	1900.96	1037.856	115.07	59.9146	966.941	1265.338	687.747
S339	646.595	1960.151	1034.615	53.75	96.6327	758.165	1109.165	591.229
S340	650.827	1740.084	974.23	61.6384	140.2386	732.083	1037.158	560.24
S341	817.153	1692.048	967.966	41.3863	29.64209	775.118	1174.651	564.832
S342	684.804	1570.682	910.875	55.6193	96.8924	707.807	1052.16	633.248
S343	544.853	1459.545	795.354	28.3451	93.3593	507.369	770.575	377.645
S344	667.206	1978.794	1130.496	55.0227	161.3426	803.471	1154.182	599.66
S345	761.014	1647.518	892.723	23.4063	162.3598	646.061	895.224	595.387
S346	625.224	1558.029	873.874	130.4494	99.2077	674.049	1062.374	350.428
S347	566.324	1485.204	846.353	41.2853	81.5674	528.056	843.312	502.833
S348	759.495	1991.146	1114.442	127.728	72.3385	821.619	1147.613	630.88
S349	626.839	1884.794	1018.77	97.4247	90.1801	820.089	1092.441	591.067
S350	499.193	1384.731	757.752	34.6187	133.9713	555.841	676.197	525.496
S351	576.181	1646.37	902.803	8.06272	147.4838	657.878	954.516	634.221
S352	588.106	1704.793	948.77	95.9179	46.2317	723.258	1030.818	683.929
S353	549.055	1632.416	928.569	101.7748	57.2421	791.656	1027.903	635.286
S354	703.253	1727.907	970.818	28.87498	89.4034	829.481	1207.814	688.226
S355	694.258	1827.032	960.979	47.8886	119.4781	647.602	1008.806	593.243
S356	535.27	1678.63	907.951	109.2126	81.1621	660.409	967.048	581.141
